№   Дата/время           Температура  Осадки (мм)
1   2025-05-24T01:00     11.3         0.0       
2   2025-05-24T02:00     11.1         0.0       
3   2025-05-24T03:00     11.1         0.0       
4   2025-05-24T04:00     10.6         0.0       
5   2025-05-24T05:00     11.0         0.0       
6   2025-05-24T06:00     12.5         0.0       
7   2025-05-24T07:00     15.6         0.0       
8   2025-05-24T08:00     17.7         0.0       
9   2025-05-24T09:00     18.1         0.0       
10  2025-05-24T10:00     19.5         0.0       
11  2025-05-24T11:00     20.7         0.0       
12  2025-05-24T12:00     21.7         0.0       
13  2025-05-24T13:00     22.5         0.0       
14  2025-05-24T14:00     22.8         0.0       
15  2025-05-24T15:00     23.1         0.0       
16  2025-05-24T16:00     23.0         0.0       
17  2025-05-24T17:00     22.5         0.0       
18  2025-05-24T18:00     21.3         0.0       
19  2025-05-24T19:00     19.4         0.0       
20  2025-05-24T20:00     17.3         0.0       
21  2025-05-24T21:00     15.1         0.0       
22  2025-05-24T22:00     13.5         0.0       
23  2025-05-24T23:00     12.7         0.0       
